CompanyID,CompanyName,Industry,Region,Revenue_2025_Actual,Revenue_2026_Predicted,Growth_Percent
1,Company_1,Retail,Latin America,734.5,662.2941203552509,-9.830616697719412
2,Company_2,Retail,Asia,4371.5,3973.432212522108,-9.105977066862453
3,Company_3,Transportation,Latin America,479.8,375.36590671121394,-21.76617200683328
4,Company_4,Technology,Africa,7675.6,6210.013201328338,-19.094100769603184
5,Company_5,Finance,Middle East,3162.1,3353.944611731591,6.067000149634457
6,Company_6,Transportation,Oceania,3297.0,3262.5655361909103,-1.0444180712493092
7,Company_7,Healthcare,Oceania,6444.2,6472.332810032953,0.43656016313821544
8,Company_8,Healthcare,Europe,7117.1,7634.27789311101,7.266694202849607
9,Company_9,Technology,North America,6764.0,5619.621389588374,-16.918666623471708
10,Company_10,Technology,Latin America,104787.3,126023.2030537726,20.265722137866508
11,Company_11,Energy,Europe,170.6,26.298202910503278,-84.5848751990016
12,Company_12,Finance,Asia,3577.8,3386.7641348635134,-5.339478594009916
13,Company_13,Consumer Goods,Asia,1671.6,1215.2125478085236,-27.302431932966996
14,Company_14,Transportation,Middle East,1623.4,1477.5884276053457,-8.981863520676011
15,Company_15,Healthcare,Oceania,11489.1,8875.849969515893,-22.74547206033638
16,Company_16,Energy,Europe,1249.8,975.8652776329491,-21.91828471491846
17,Company_17,Utilities,Oceania,4630.8,4152.668225613519,-10.325036157607348
18,Company_18,Energy,Europe,14675.7,13467.428129653905,-8.233146428082447
19,Company_19,Technology,Latin America,180810.4,157312.87559325085,-12.995670827977342
20,Company_20,Technology,North America,8581.5,7671.883917848081,-10.599732938902509
21,Company_21,Energy,Asia,1100.4,1417.3324861567016,28.80157089755557
22,Company_22,Manufacturing,Latin America,1009.7,848.544197897676,-15.960760830179662
23,Company_23,Healthcare,Asia,924.5,1188.6454073840214,28.571704422284625
24,Company_24,Technology,Middle East,16884.5,16958.595689154525,0.438838515529182
25,Company_25,Utilities,Middle East,522.7,575.3713792089129,10.076789594205636
26,Company_26,Healthcare,Asia,13120.6,10304.18401338042,-21.465603605167296
27,Company_27,Healthcare,Europe,6291.5,4841.007337553465,-23.054798735540576
28,Company_28,Technology,Latin America,6674.2,5822.942416265019,-12.754451226139171
29,Company_29,Transportation,Oceania,638.4,646.5165897898914,1.2713956437799914
30,Company_30,Transportation,Middle East,1356.5,1183.5683200493477,-12.74837301516051
31,Company_31,Transportation,Middle East,836.2,928.7323404971248,11.065814457919728
32,Company_32,Utilities,North America,556.0,557.6162705242705,0.2906961374587187
33,Company_33,Finance,North America,1244.4,1229.6708971520557,-1.1836308942417575
34,Company_34,Energy,Middle East,21020.8,16028.456813193414,-23.74953944096602
35,Company_35,Healthcare,Middle East,2196.1,1863.518614218512,-15.144182222188782
36,Company_36,Healthcare,Europe,2872.1,3065.0791799976923,6.719096828024526
37,Company_37,Energy,Oceania,4183.6,5200.214744281147,24.299998668160125
38,Company_38,Energy,Africa,1039.9,789.6499315044703,-24.064820511157787
39,Company_39,Transportation,Latin America,2744.5,2333.301706277136,-14.982630487260487
40,Company_40,Transportation,Oceania,4126.1,4078.164885748063,-1.1617535748512442
41,Company_41,Energy,North America,6929.7,8830.859822976421,27.43495133954459
42,Company_42,Energy,North America,922.7,950.0617913167689,2.9654049329976004
43,Company_43,Transportation,Europe,423.4,392.44926803060025,-7.310045339962146
